GameId,GameDate,Quarter,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,SeasonYear,Yards,IsRush,IsPass,IsIncomplete,IsTouchdown,IsSack,IsInterception,IsFumble
2023110503,11/5/2023,2,CLE,ARI,3,5,56,0,2023,4,1,0,0,0,0,0,0
2023110504,11/5/2023,2,LA,GB,1,10,55,0,2023,8,1,0,0,0,0,0,0
2023110504,11/5/2023,2,LA,GB,2,2,63,0,2023,-1,1,0,0,0,0,0,0
2023110504,11/5/2023,2,GB,LA,2,4,70,0,2023,0,0,0,0,0,0,0,0
2023110504,11/5/2023,2,GB,LA,3,4,70,0,2023,0,0,0,0,0,0,0,0
2023110504,11/5/2023,2,GB,LA,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023110504,11/5/2023,3,GB,LA,4,6,92,0,2023,0,0,0,0,0,0,0,0
2023110504,11/5/2023,3,GB,LA,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023110504,11/5/2023,3,LA,GB,0,0,65,1,2023,0,0,0,0,0,0,0,0
2023110504,11/5/2023,3,LA,GB,1,10,75,0,2023,2,0,1,0,0,0,0,0
2023110504,11/5/2023,3,LA,GB,2,8,73,0,2023,0,0,1,1,0,0,0,0
2023110505,11/5/2023,2,HOU,TB,2,9,68,0,2023,0,0,1,1,0,0,0,0
2023110505,11/5/2023,2,HOU,TB,3,9,68,0,2023,0,0,1,1,0,0,0,0
2023110508,11/5/2023,2,IND,CAR,2,9,61,0,2023,0,0,1,1,0,0,0,0
2023110508,11/5/2023,2,IND,CAR,3,9,61,0,2023,0,0,1,1,0,0,0,0
2023110506,11/5/2023,2,WAS,NE,2,10,79,0,2023,0,0,1,1,0,0,0,0
2023110506,11/5/2023,2,WAS,NE,3,10,79,1,2023,16,0,1,0,0,0,0,0
2023110506,11/5/2023,2,WAS,NE,1,5,95,1,2023,20,0,1,0,0,0,1,0
2023110507,11/5/2023,4,NO,CHI,3,2,90,1,2023,4,1,0,0,0,0,0,0
2023110509,11/5/2023,3,LV,NYG,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023110509,11/5/2023,3,NYG,LV,1,10,53,1,2023,12,0,1,0,0,0,0,0
2023110509,11/5/2023,4,LV,NYG,3,1,69,0,2023,-3,1,0,0,0,0,0,0
2023110510,11/5/2023,1,PHI,DAL,1,10,88,1,2023,12,1,0,0,1,0,0,0
2023110510,11/5/2023,4,DAL,PHI,1,10,66,0,2023,0,0,1,1,0,0,0,0
2023110600,11/6/2023,4,NYJ,LAC,2,1,100,0,2023,-9,0,0,0,0,1,0,1
2023110900,11/9/2023,1,CHI,CAR,1,10,66,0,2023,3,1,0,0,0,0,0,0
2023110900,11/9/2023,1,CHI,CAR,2,7,69,0,2023,0,0,1,1,0,0,0,0
2023110900,11/9/2023,1,CHI,CAR,3,7,69,0,2023,0,0,1,1,0,0,0,0
2023110900,11/9/2023,1,CHI,CAR,4,12,64,0,2023,0,0,0,0,0,0,0,0
2023110900,11/9/2023,2,CHI,CAR,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023111201,11/12/2023,2,CLE,BAL,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023111201,11/12/2023,2,CLE,BAL,1,10,58,0,2023,0,0,1,1,0,0,0,0
2023111207,11/12/2023,3,ARI,ATL,1,10,70,0,2023,4,1,0,0,0,0,0,0
2023111202,11/12/2023,3,HOU,CIN,1,5,95,0,2023,2,1,0,0,0,0,0,0
2023111202,11/12/2023,3,HOU,CIN,3,3,97,0,2023,0,0,1,1,0,0,0,0
2023111202,11/12/2023,3,CIN,HOU,1,10,56,1,2023,15,1,0,0,0,0,0,0
2023111203,11/12/2023,2,SF,JAX,3,2,63,1,2023,2,1,0,0,0,0,0,0
2023111203,11/12/2023,2,SF,JAX,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023111206,11/12/2023,4,TB,TEN,1,10,53,0,2023,5,0,1,0,0,0,0,0
2023111205,11/12/2023,3,GB,PIT,0,0,65,1,2023,0,0,0,0,0,0,0,0
2023111205,11/12/2023,3,GB,PIT,1,10,56,0,2023,3,1,0,0,0,0,0,0
2023111205,11/12/2023,3,GB,PIT,2,7,59,0,2023,1,1,0,0,0,0,0,0
2023111206,11/12/2023,2,TEN,TB,1,10,59,0,2023,4,1,0,0,0,0,0,0
2023111211,11/12/2023,2,LV,NYJ,1,10,63,0,2023,0,0,1,1,0,0,0,0
2023111600,11/16/2023,4,CIN,BAL,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023111904,11/19/2023,3,ARI,HOU,3,6,76,0,2023,6,1,0,0,0,0,0,0
2023111903,11/19/2023,1,GB,LAC,3,1,51,0,2023,-1,1,0,0,0,0,0,0
2023111909,11/19/2023,2,BUF,NYJ,1,10,77,0,2023,-2,1,0,0,0,0,0,0
2023111909,11/19/2023,2,BUF,NYJ,2,12,75,0,2023,-1,0,1,0,0,0,0,0
2023111909,11/19/2023,2,BUF,NYJ,3,13,74,0,2023,11,0,1,0,0,0,0,0
2023111909,11/19/2023,2,BUF,NYJ,4,2,85,0,2023,0,0,0,0,0,0,0,0
2023111903,11/19/2023,1,LAC,GB,2,2,100,0,2023,1,1,0,0,0,0,0,0
2023111903,11/19/2023,1,LAC,GB,3,1,51,1,2023,37,1,0,0,0,0,0,0
2023111903,11/19/2023,1,LAC,GB,1,10,88,0,2023,1,1,0,0,0,0,0,0
2023111903,11/19/2023,1,LAC,GB,2,9,89,0,2023,4,0,1,0,0,0,0,0
2023111903,11/19/2023,2,GB,LAC,1,10,65,0,2023,5,1,0,0,0,0,0,0
2023111903,11/19/2023,2,GB,LAC,2,5,70,0,2023,4,1,0,0,0,0,0,0
2023111905,11/19/2023,4,JAX,TEN,3,7,67,1,2023,13,0,1,0,0,0,0,0
2023111905,11/19/2023,4,JAX,TEN,1,10,80,0,2023,2,0,1,0,0,0,0,0
2023111905,11/19/2023,4,JAX,TEN,2,8,82,0,2023,5,0,1,0,0,0,0,0
2023111905,11/19/2023,4,JAX,TEN,3,3,87,0,2023,2,1,0,0,0,0,0,0
2023111905,11/19/2023,4,JAX,TEN,4,1,89,1,2023,3,1,0,0,0,0,0,0
2023111905,11/19/2023,4,JAX,TEN,1,8,92,0,2023,3,1,0,0,0,0,0,0
2023111905,11/19/2023,4,JAX,TEN,2,5,95,1,2023,5,1,0,0,1,0,0,0
2023111908,11/19/2023,2,TB,SF,1,5,67,0,2023,-1,0,0,0,0,1,0,1
2023111908,11/19/2023,2,SF,TB,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,2,8,100,0,2023,6,1,0,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,3,2,56,1,2023,3,1,0,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,1,10,59,1,2023,19,0,1,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,3,3,73,1,2023,10,0,1,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,1,10,83,0,2023,2,0,1,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,2,8,85,0,2023,5,0,1,0,0,0,0,0
2023111908,11/19/2023,2,SF,TB,3,3,90,0,2023,0,0,1,1,0,0,0,0
2023111908,11/19/2023,3,TB,SF,0,0,100,1,2023,0,0,0,0,0,0,0,0
2023111908,11/19/2023,4,TB,SF,1,10,77,0,2023,0,0,1,1,0,0,0,0
